,Genres,Durée Moyenne,Rating Moyenne,Revenue Moyenne,Budget Moyenne
0,Drama,96.201,6.589,39192720.764,14477841.945
1,Adventure,86.675,6.301,152320974.765,46767097.277
2,Fantasy,89.509,6.067,107591865.526,34443506.816
3,Biography,106.563,6.94,38358572.035,16167384.223
4,Romance,95.706,6.404,39214360.005,12960441.494
5,History,108.171,6.781,36162328.375,17283475.261
6,Comedy,87.473,6.221,60610164.129,20121962.8
7,Crime,93.44,6.404,42679728.454,17717263.869
8,Mystery,92.108,6.111,44003620.978,15884140.216
9,Horror,90.754,5.651,34470078.832,10633637.452
10,Western,88.6,6.453,25835449.573,7870926.455
11,Action,93.475,6.252,114423287.129,39353158.253
12,Family,77.83,6.096,87273318.326,28312794.84
13,War,103.842,6.76,27700578.769,12203665.981
14,Sci-Fi,90.965,6.261,133175093.605,44265681.38
15,Thriller,96.594,6.153,58145611.533,20218373.748
16,Sport,95.143,6.673,37362643.434,16771574.142
17,Documentary,82.094,7.376,11602899.862,1444740.551
18,Music,97.692,6.605,37720477.879,11685981.311
19,Animation,54.893,6.465,132848668.487,35810653.47
20,Musical,98.773,6.538,33645147.61,11468269.321
21,Film-Noir,86.737,,3508749.122,1087668.102
22,Adult,81.609,,,
23,Short,9.197,,,
24,News,69.831,8.0,1786948.0,175000.0
